user_id,item_id
33918143,27371755
49619439,292480299
49619439,273516989
123242164,286410858
123242164,61148939
93949903,310608572
38645842,290320897
36797719,368123858
57261890,284370687
8322595,364851001
134622261,177586504
24642742,151467947
24642742,184803215
22886227,167529519
109442987,402765236
56485225,180257708
115312970,374759399
77465332,42281656
134372182,57652272
10989401,326293524
10886351,21836842
106126902,268811132
54374429,95867699
6933286,308651302
53891047,149654126
109515860,325938147
109515860,187469415
73758350,289870382
18261127,314571834
127003110,214954496
3564077,251602922
92342149,129489673
92092605,95283778
93183576,109251644
93183576,161373588
89587556,366040858
7615259,80767916
74094443,173995696
128366862,19293069
21008348,293594279
66201870,160731227
69387053,124864458
82816917,317612655
74261240,292323204
133031809,195798571
52895501,271284311
75583025,278039765
62290396,90521977
7166003,17518079
79976499,50809239
109857359,88308347
138772988,335309109
76136427,176389972
69419619,93324063
100456028,322957624
96263195,278839541
20262488,37101896
47606728,98723089
127113842,79293091
127113842,67991431
20361916,351361707
1017622,259340506
1017622,293148277
109498494,341770881
95234057,86490164
95234057,252550941
50240467,397490472
64060923,372539548
64060923,143149727
44026734,35477336
39936758,101753768
44137606,85794087
115270456,19061971
75933011,156974640
20519542,203184121
76130800,255385033
136372002,8602331
60298546,97508632
34811514,385471331
52046047,328715502
114118982,55824131
68645886,150914288
106613402,403851838
85235720,344306345
91932335,95253928
40907060,314397726
95831069,344810337
44703989,350674375
119576056,356298446
119576056,334635010
119576056,168082158
39358454,94785497
61973656,56913325
82094172,287899972
45324981,81835047
117546653,250289765
125117302,108739410
4707609,378400404
23237106,400354435
55496517,61293574
108623128,222126554
95554894,281474496
102499982,401751237
7494627,176939445
7494627,48556422
50418349,400354435
105412904,65717625
48755924,26299454
19164979,279322674
120725407,61937041
82411784,260147571
72540615,92928298
98016030,52491078
19609265,30614540
105838305,394384622
47344550,367571270
30963780,184467471
124565387,121838705
41287085,77394395
59190735,327574299
113559597,308296384
80504492,182392255
103701413,10750044
18581125,7601463
120024485,156195333
5244763,186954039
14011730,273867685
113321309,96054474
9683018,305613858
1563139,375254201
141361543,390407815
98080912,281091469
33469659,220728274
101861708,27193181
52302999,34155893
81805172,56913325
132398202,402400063
91002033,173551009
107024477,158965302
107024477,225169383
132575385,147267612
113547467,203376831
131039248,270961678
64557721,186370408
74520930,21887065
16915261,106277487
90670839,217977952
77891491,337771212
109326585,238081434
128669773,303405737
110513785,141723632
94047794,50181608
95492699,113208770
84548184,109578381
12284845,344361336
128575721,72116031
72395472,190578363
805176,262263855
805176,157616943
