user_id,item_id
83052376,356866427
122257243,20818420
98147182,116580314
73193816,11584271
24908868,343468133
81828767,284973426
113777396,161303213
88955119,211940679
119962907,337940091
37121101,39424712
73490341,359407782
102941539,190705062
73758350,229700501
88583894,277501696
60473530,328572043
23238578,167391537
62153331,77750226
110374599,363023740
100689236,228533090
99218322,376092945
101025770,86739766
9238104,118767494
36933597,336462172
103299356,386145418
118539273,338017782
120187810,162378033
48540190,70801735
117546653,170201983
7378675,84227385
17688736,355434012
125828584,86575162
127698496,225875507
141520629,92019161
87721273,59905525
52713599,380537203
116566550,338301228
89297848,97721563
113730629,367811835
8716998,232425806
71073370,17234748
12000507,173886041
21573720,124924767
98628646,209736572
107131354,43166970
32226713,5110631
59755763,317208379
127501729,21051777
26016998,335271545
53742835,108225192
55970053,218235463
82742259,305405156
96700750,384275641
89505491,313187698
69930269,137126990
120911325,275963116
38394899,163900244
93447066,124333633
263901,42537628
135745717,36774355
43691003,231030489
123603693,196545722
29898034,385491677
46102349,249225442
59344659,347127338
126458188,99889948
39358454,104281369
103724384,99878270
88148961,64715700
139110910,260137208
23237106,303122842
99224658,331604695
130053527,72776602
130269564,186104708
78686517,171592567
140941965,33300423
82411784,30979835
95920514,368782077
6479495,113494821
3795838,277334429
20339749,331491610
87480402,37833552
18204749,325221145
78324436,170217072
95663386,367466876
137321650,34324623
83428925,120278105
29221987,10923341
47898125,291582351
58859677,316656488
102737187,68209844
65800700,11724127
123339854,281001845
86345448,223229091
82773347,286999891
73331581,60658860
63693522,211635302
8680886,359021957
120343656,263981598
14810140,285169747
40330673,197719468
54370253,171592567
130720750,365670253
130532346,132890734
