141195996,400334821
33918143,60967144
33918143,38003499
33918143,27371755
135426325,353300096
137587571,269976923
137587571,172241091
137587571,116255574
101675574,400779294
84483427,289338697
84483427,233681493
65420807,40714306
99000518,95857166
11099815,339396235
49619439,292480299
49619439,273516989
65916987,176259171
18634145,319513223
26047046,247544448
26047046,127500146
95024669,75565397
123242164,286410858
123242164,61148939
105153368,357765852
39341670,214249526
39341670,265736110
133817664,244938108
15685363,257056605
124581656,385989248
124581656,10929729
124581656,53285859
124581656,215720005
124581656,269727273
124581656,311962665
124581656,187009387
124581656,47726956
124581656,18217037
124581656,169102006
124581656,385109385
124581656,340999290
124581656,271675510
140256641,313460057
140256641,256506746
73331581,312550592
51219691,175114672
97290097,104202558
84434154,62140766
13853005,82029440
13853005,320525658
13853005,151455996
15343106,326747610
71147526,358435866
126745464,319173253
75536562,155024810
90083915,295972673
27572899,149071956
85829920,152455160
85829920,315377985
85829920,17950730
85829920,335180652
36248161,160126181
4904673,53330174
131032896,292900719
99030368,61030043
57888518,154792888
123990518,146252312
93949903,310608572
38645842,290320897
39003640,320046069
85330726,380171858
132059017,116862365
55427335,76764707
119628427,359397344
119628427,139654262
106239078,218544202
5683524,206949002
109750310,400427694
108944739,179877857
108944739,319378641
59393422,288287016
59393422,310411889
59393422,403923297
142309360,235268776
100289917,347077820
76081459,340303554
141765235,153742235
141765235,377279372
94347670,332464728
94347670,357894257
94347670,170871023
94347670,84336767
120403020,237908618
133563346,229664593
105737977,31048962
105737977,217787627
105737977,110324554
8673852,191047130
89453373,100231256
89453373,379839288
96276586,162082949
96276586,160855590
73427429,63183486
67201892,365356750
96820845,273024585
96820845,65772236
96820845,137735694
125104557,303334398
89792074,383126320
73784219,183995062
62507458,110218705
11864903,316048208
11864903,250281209
11864903,391559595
11864903,46936428
85489311,26496339
59182609,285960300
59182609,364416245
59182609,57099454
79711760,365538410
83249566,21915512
83249566,319544274
119608608,336506597
31861871,310629786
13836728,270025064
125170862,308786870
71619728,16021823
69994159,124358329
57334064,248361824
57334064,266069312
57334064,340164930
57334064,27751126
57334064,368984134
57334064,86414248
57334064,205081227
57334064,40319949
57334064,277703022
57334064,370258445
57334064,267250128
57334064,104679350
57334064,124405015
57334064,120136077
57334064,57010871
57334064,156853629
57334064,167495934
82413658,307225865
82413658,307792517
42818311,159183702
46134610,149467698
46134610,10657114
141263225,255582251
141263225,19492237
79595685,203604988
79595685,66722357
79595685,134058902
57240687,291303597
57240687,191953527
125455469,47726956
89634823,218887120
89634823,207627822
2998777,299726458
141791496,329506692
62510288,202503246
102062853,203551764
102062853,299822213
102062853,345165726
38767950,299103352
51160991,237439794
134185008,181251969
134185008,93067452
105267575,218374607
101712435,45233846
47032159,245169010
17686864,79724217
17686864,134267038
