28549120,set([39170871])
88203268,set([304141029])
71147526,set([358435866])
8835073,set([289325773])
67469321,set([314857307])
35569676,set([145158867])
131039248,set([270961678])
120537106,set([15800081])
100589589,set([341096196])
63479831,"set([344167200, 117033682])"
130212592,"set([47795202, 197711379, 94186572, 387191605])"
438276,set([319265553])
4931612,set([296107760])
5718045,set([103655600])
86056995,set([224523986])
15376420,set([80298158])
84418566,"set([74757817, 183259474, 188280741, 404518425])"
91529255,set([223039352])
4767784,"set([315021960, 136444548])"
106078250,set([299941043])
34963501,set([15356325])
33267758,"set([222418477, 323033333])"
58283357,set([210387599])
134185008,"set([181251969, 93067452])"
20815921,set([355373094])
101523507,set([195173524])
51208247,set([391205222])
69255224,set([59174558])
45324981,set([81835047])
3416128,set([1701128])
14753857,set([186053158])
21381186,"set([186410264, 282586045])"
127525011,"set([23174426, 352181347, 164008773])"
122347590,set([201669318])
9683018,set([305613858])
74892642,set([142538960])
105615373,set([338548916])
57499730,"set([397670044, 306955836])"
73244758,set([15793652])
49897559,set([353148821])
105767002,"set([289583352, 9561477, 223781269])"
32350300,set([237356390])
86735546,set([37372114])
127107167,set([137822272])
48570466,"set([323582185, 115732076])"
55294651,set([56337537])
109052005,set([62537532])
47587432,set([29975469])
127303785,set([211426123])
17987872,set([151439088])
10461291,set([313557222])
87464807,"set([380741282, 84336767])"
60432494,set([320468352])
68198511,"set([113242129, 62299191, 325710603, 184876013, 234530675])"
41574514,"set([92760224, 222541898, 321201124])"
60268659,"set([208251346, 238331046, 340654255])"
108101748,set([299374365])
56485225,set([180257708])
102375544,set([28454671])
85762170,set([264762995])
135676027,set([65325453])
5185661,set([57594421])
105390207,set([63180233])
15057025,"set([138492488, 105892155])"
25329794,set([398782121])
75023723,set([113456439])
136659079,set([345845463])
57081999,set([121293007])
141942808,set([180148154])
130351251,set([318664038])
92332181,set([259523637])
109174939,set([188280995])
58859677,"set([51562226, 277546419, 303324206, 8369774])"
4423839,set([349948088])
122126498,set([290956352])
70783003,set([49375377])
74760356,"set([54134995, 116708397])"
73597094,"set([80381192, 49304628])"
133996715,"set([330516104, 283202231])"
20545709,"set([339114643, 382437206])"
89280541,set([151904777])
93618357,"set([215810193, 161025895])"
27730102,set([259896049])
50177259,set([204268552])
102506684,"set([361412042, 310393418, 169858061])"
9343178,set([273851455])
97886398,set([113783131])
52822210,set([361433706])
115417283,set([116254013])
107667652,set([89992617])
99000518,set([95857166])
18763809,"set([274010454, 259146079])"
47071435,set([183171677])
12968141,"set([140665437, 134058902])"
64244429,set([371119771])
10286090,set([236434380])
118390819,set([272985263])
109347031,set([288050784])
32964824,"set([22507809, 157222850, 291580836, 166838110, 145228662])"
28836058,set([280492044])
38045550,set([160008894])
131662045,set([287316287])
58867936,set([49024275])
36061410,set([248105133])
117604582,set([80878429])
63144168,set([390460100])
33210604,set([87666723])
44163312,set([367309467])
66201870,set([160731227])
139264243,"set([301196308, 273621182])"
44703989,set([350674375])
39387686,set([377196944])
135012604,set([245787507])
65327146,"set([125666923, 75681830, 210893814])"
141224661,set([296786795])
105431298,set([101185531])
116187395,set([36136850])
99759576,set([193578502])
55427335,set([76764707])
82411784,set([260147571])
123404554,"set([283916498, 370092715])"
102974850,set([292177886])
85782573,set([289892759])
94544144,"set([354871282, 392833677])"
30220561,set([88066211])
85901586,"set([186041434, 199334748])"
89587988,"set([91205906, 341850699, 2866226])"
96063534,"set([109170524, 179868078])"
67952919,set([331196999])
135012633,set([304061280])
1376538,set([4385698])
62742815,"set([370248451, 204086591])"
102857568,set([244167063])
66502949,set([355717216])
98599208,set([91960331])
55468330,set([247212505])
136241454,set([73335740])
53085943,set([60812962])
69723528,"set([68599170, 215183843])"
137519410,set([320836374])
104046900,"set([45548209, 351657140, 30999252])"
18055477,set([392763095])
25215291,"set([278097776, 47084158])"
79184188,set([299103352])
135094589,set([116058065])
41959743,set([200051189])
106733895,set([103729114])
35881288,set([393969016])
121365900,"set([137096203, 306931036])"
64482252,"set([32488042, 322618244, 272292446])"
13853005,"set([82029440, 320525658, 151455996])"
130802406,set([358375580])
66339151,"set([103979843, 389493380, 136487015, 318141036, 94682384, 198484311, 75706490, 208384284])"
17686864,"set([79724217, 134267038, 279297918])"
137158994,set([15485337])
92684627,set([285726268])
18473301,"set([201699913, 281594423])"
114303319,"set([284411522, 381706659, 233249611, 2664461, 305901105, 403546514, 204165243])"
7676252,set([42472345])
86507870,set([230524330])
8905056,set([100922232])
106479971,set([326694522])
31637860,"set([385476353, 295770514, 170491557])"
84549991,set([156794262])
138977640,set([17807291])
117662058,set([58803994])
90342802,set([317149903])
62022000,"set([218279032, 3426133])"
117488360,"set([198370594, 110880909])"
91488626,set([398831452])
105267575,set([218374607])
7283064,"set([333028913, 53738139])"
141263225,"set([255582251, 19492237])"
140870011,"set([6662545, 39986393, 210949723, 295378437, 402919277])"
130269564,"set([185368780, 36094564])"
3170687,set([88535619])
95920514,set([227126735])
94200196,"set([181061985, 60215597])"
39575941,set([330757232])
109068679,set([392320002])
129099159,set([286227847])
121971087,"set([6039035, 231390479])"
76395928,"set([236849344, 277831337])"
4530578,set([100757657])
7320228,"set([303625840, 354525367])"
30007701,set([350674375])
